Kanji,Hiragana,English
呼び掛ける,よびかける,"to call out to,to accost,to address (crowd),to appeal"
定員,ていいん,"fixed number of regular personnel,capacity (of boat, etc.)"
地盤,じばん,(the) ground
,そのため,"hence,for that reason"
占う,うらなう,"to forecast,to predict"
特殊,とくしゅ,"special,unique"
仮名遣い,かなづかい,"kana orthography,syllabary spelling"
四季,しき,four seasons
成立,せいりつ,"coming into existence,arrangements,establishment,completion"
,おかげさまで,"Thanks to god,thanks to you"
固い,かたい,"stubborn,firm (not viscous or easily moved)"
生存,せいぞん,"existence,being,survival"
響き,ひびき,"echo,sound,reverberation,noise"
活力,かつりょく,"vitality,energy"
楕円,だえん,ellipse
出張,しゅっちょう,"official tour,business trip"
,レベル,level
架空,かくう,"aerial,overhead,fiction,fanciful"
梯子,はしご,"ladder,stairs"
鉢,はち,"a bowl,a pot"
美容,びよう,beauty of figure or form
整備,せいび,"adjustment,completion,consolidation"
払い込む,はらいこむ,"to deposit,to pay in"
焚く,たく,"to burn,to kindle,to build a fire"
課税,かぜい,taxation
堅い,かたい,"hard (esp. wood),steadfast,honorable,stuffy writing"
青白い,あおじろい,"pale,pallid"
,ばからしい,absurd
蒸し暑い,むしあつい,"humid,sultry"
,サンプル,sample
工員,こういん,factory worker
直径,ちょっけい,diameter
早口,はやくち,fast-talking
煙い,けむい,smoky
紅葉,もみじ,(1) (Japanese) maple
明け方,あけがた,dawn
正門,せいもん,"main gate,main entrance"
不通,ふつう,"suspension,interruption,stoppage,tie-up,cessation"
花嫁,はなよめ,bride
詫びる,わびる,to apologize
,やむをえない,"cannot be helped,unavoidable"
屋外,おくがい,outdoors
万歳,ばんざい,"hurrah, cheers"
訳す,やくす,to translate
,はきはき,lucidly
,あてはまる,"to be applicable,to come under (a category),to fulfill"
鈴,すず,bell
,やっつける,"to attack (an enemy),to beat,to do away with,to finish off"
,カセット,cassette (tape)
引き止める,ひきとめる,"to detain,to check,to restrain"
略す,りゃくす,to abbreviate
効力,こうりょく,"effect,efficacy,validity,potency"
原産,げんさん,"place of origin,habitat"
一段と,いちだんと,"greater,more,further,still more"
広さ,ひろさ,extent
夫妻,ふさい,"man and wife,married couple"
演劇,えんげき,play (theatrical)
,あかんぼう,baby
暴れる,あばれる,"to act violently,to rage,to struggle,to be riotous"
,のこぎり,saw
緯度,いど,latitude (nav.)
,ほどく,to unfasten
見付かる,みつかる,"to be found,to be discovered"
商業,しょうぎょう,"commerce,trade,business"
器具,きぐ,utensil
,フリー,free
釜,かま,"iron pot,kettle"
酒場,さかば,"bar,bar-room"
,スケジュール,schedule
祭る,まつる,"to deify,to enshrine"
,かわいがる,"to love,to be affectionate"
同格,どうかく,"the same rank,equality,apposition"
大通り,おおどおり,main street
法則,ほうそく,"law,rule"
実物,じつぶつ,"real thing,original"
張り切る,はりきる,"to be in high spirits,to be full of vigor"
点ける,つける,"to turn on,to switch on,to light up"
長所,ちょうしょ,"(1) strong point,merit,(2) advantage"
揃う,そろう,"to become complete,to be equal,to be all present,to gather"
就任,しゅうにん,"inauguration,assumption of office"
調味料,ちょうみりょう,"condiment,seasoning"
煉瓦,れんが,brick
月給,げっきゅう,monthly salary
打ち消す,うちけす,"to deny,to negate,to contradict"
謙遜,けんそん,"humble,humility,modesty"
吐き気,はきけ,"nausea,sickness in the stomach"
点く,つく,"to catch fire,(electricity) comes on"
憧れる,あこがれる,"to long for,to yearn after,to admire"
宛名,あてな,"address,direction"
驚かす,おどろかす,"to surprise,to frighten,to create a stir"
積む,つむ,"to pile up,to stack"
真似る,まねる,"to mimic,to imitate"
田植え,たうえ,rice planting
調節,ちょうせつ,"regulation,adjustment,control"
延びる,のびる,to be prolonged
,おやつ,"(1) between meal snack,afternoon refreshment"
勝負,しょうぶ,"victory or defeat,match,contest,game,bout"
受話器,じゅわき,(telephone) receiver
手首,てくび,wrist
寝巻,ねまき,"sleep-wear,nightclothes,pyjamas,nightgown,nightdress"
押える,おさえる,"to stop,to restrain,to seize,to repress,to suppress,to press down"
芸能,げいのう,"public entertainment,accomplishments,attainments"
掃く,はく,"to sweep,to brush,to gather up"
鉄橋,てっきょう,"railway bridge,iron bridge"
電池,でんち,battery
取り消す,とりけす,to cancel
姪,めい,niece
,ごちそうさま,feast
始めに,はじめに,"to begin with,first of all"
持参,じさん,"bringing,taking,carrying"
列島,れっとう,chain of islands
,かゆい,"itchy,itching"
